"","OPCS","Prop_IP","Median Mean LOS","Median Median LOS","Admissions","class1","class2","class3","class4","class1_proportion","class2_proportion","class3_proportion","class4_proportion","class1_prop_dc","class2_prop_dc","class3_prop_dc","class4_prop_dc","class1_prop_bed","class2_prop_bed","class3_prop_bed","class4_prop_bed","class1_proportional_cost","class2_proportional_cost","class3_proportional_cost","class4_proportional_cost","value"
"47","A61",0.115716360995097,1.42165242165242,1,4417.2,11.6,0,2766.2,1639.4,1.40776357338938e-05,0,0.00111927164826487,0.00194000385618269,1.24486229553531e-05,0,0.000989753606162677,0.00171551366962877,2.00135049322309e-05,0,0.000184129638202266,0.000319147017351579,0.0581124803095138,0,4.62035336403739,8.00833591832214,4128
"48","A62",0.479219512195122,1.20833333333333,0,3400.8,1350.8,2050,0,0,0.00163931640942619,0.00562023958852901,0,0,0.000853723999367513,0.00292691111449442,0,0,0.00198084066138998,0.00325443857279179,0,0,6.76709813811132,23.2003490214477,0,0,4128
"49","A63",0.689189189189189,3.16666666666667,1,45.8,16.2,0,29.6,0,1.96601464559552e-05,0,1.19768783127179e-05,0,6.11058606063473e-06,0,3.72254325935826e-06,0,6.22571304438581e-05,0,2.61387276689721e-05,0,0.0811570845701831,0,0.0494405536748994,0,4128
"50","A64",0.512890341321714,0.8,0,2063.6,962,1101.6,0,0,0.00116747289448327,0.00302012484425539,0,0,0.000568687323147894,0.00147113198205106,0,0,0.000933978315586613,0.00123919428976347,0,0,4.81932810842692,12.4670753570863,0,0,4128
"51","A65",0.015268254753658,1.36752767527675,0,48277.6,177.8,0,48099.8,0,0.000215776175300545,0,0.0194623463333131,0,0.000212481649686287,0,0.0191651902713922,0,0.000295079891388864,0,0.000406369138553147,0,0.534909138570052,0,48.2471565602832,0,2479
"52","A66",0.256038647342995,1.28571428571429,1,125,0.8,0,30.2,94,9.70871429923714e-07,0,1.22196528731108e-05,0.000111236039088186,7.22290822262087e-07,0,9.09094948047858e-06,8.27553141042546e-05,1.24826326704478e-06,0,4.02261864767002e-06,3.66180749793409e-05,0.00117572530163762,0,0.0147979996293372,0.134706843335794,1211
"53","A67",0.0790513833992095,1.09730848861284,1,4920.8,12.6,0,3965.4,942.8,1.52912250212985e-05,0,0.00160449706963687,0.00111567380481215,1.40824325294962e-05,0,0.0014776593566221,0.00102747824711949,1.67791910171598e-05,0,0.000139180099167349,9.6777734114099e-05,0,0,0,0,0
"54","A68",0.241935483870968,1.8,1,1348,21.2,0,846.8,480,2.57280928929784e-05,0,0.000342635829567889,0.000568013816620526,1.95035542898385e-05,0,0.000259740064349851,0.000430591119051044,4.63105672073611e-05,0,0.000149212377392468,0.000247360855625068,0,0,0,0,0
"55","A69",0.0564979480164159,1,1,1467.6,5.6,0,873.2,588.8,6.796100009466e-06,0,0.000353317910225178,0.000696763615054512,6.41213430441682e-06,0,0.000333356173300007,0.000657397900551432,6.796100009466e-06,0,1.99617369251708e-05,3.93657145030798e-05,0,0,0,0,0
"56","A70",0.128314186906229,1.54637281910009,1,5081.2,49.8,0,2175.4,2856,6.04367465127512e-05,0,0.0008802196311313,0.00337968220889213,5.26818545247097e-05,0,0.000767274964863787,0.00294602103425669,9.34577420821607e-05,0,0.000174654561978414,0.000670601853155265,0.149037016900444,0,2.17062161036979,8.33429632712799,2466
"57","A73",0.0623908032476399,5.91081967213115,1,28220.6,976.2,0,4302.2,22942.2,0.00118470586236441,0,0.00174077452287077,0.0271489303826488,0.00111079111199931,0,0.00163216620211584,0.0254550868087611,0.00700258271695266,0,0.000641964198875397,0.0100120039180484,0,0,0,0,0
"58","A75",0.470162748643761,2.7,1,226.8,5.6,0,188.6,32.6,6.796100009466e-06,0,7.63121368168444e-05,3.85776050454774e-05,3.60082694895757e-06,0,4.0433012816158e-05,2.04398522212023e-05,1.83494700255582e-05,0,9.68736348018531e-05,4.89719326255427e-05,0,0,0,0,0
"59","A76",0.184601113172542,9.82857142857143,6,229.8,14.2,0,137.8,77.8,1.72329678811459e-05,0,5.57572240369096e-05,9.20655727772436e-05,1.40517428270197e-05,0,4.54643784122853e-05,7.50701655576968e-05,0.00016937545574612,0,0.000101163968424879,0.000167040573814974,0.0086681828442164,0,0.0280458836905655,0.0463089831069535,503
"60","A77",0.0689655172413793,0.8,0.5,23.8,0.6,0,23.2,0,7.28153572442785e-07,0,9.38728300185996e-06,0,6.7793608468811e-07,0,8.73988417414548e-06,0,5.82522857954228e-07,0,5.17919062171584e-07,0,0.000481309511384681,0,0.00620499406422944,0,661
"61","A78",0.0329883570504528,2,1,310.6,1.4,0,70.2,239,1.6990250023665e-06,0,2.84046235659728e-05,0.000282823546192304,1.64297695895079e-06,0,2.74676017018948e-05,0.000273493662068237,3.398050004733e-06,0,1.87404372815603e-06,1.86597682481339e-05,0.000854609576190349,0,0.0142875256536843,0.142260243734729,503
"62","A79",0.276595744680851,2.8695652173913,1,48,1,0,17.2,29.8,1.21358928740464e-06,0,6.95953739793066e-06,3.5264191115191e-05,8.77915654718252e-07,0,5.0345589687158e-06,2.55102659131169e-05,3.48247360733506e-06,0,5.52385114470352e-06,2.79895244929083e-05,0.000610435411564535,0,0.00350064731115912,0.0177378881309411,503
"63","A81",0.0491605189519206,5.76785714285714,1,3183.2,38.4,0,882,2262.8,4.66018286363383e-05,0,0.000356878603777607,0.0026777118005186,4.43108585564674e-05,0,0.000339334266413063,0.00254607409880142,0.000268792690170308,0,0.000101193231584781,0.000759267458118712,0.0275882825527122,0,0.211272133436343,1.58520538590701,592
"64","A84",0.770457495133031,6.29827267119062,1,15641.6,3313.6,0,12328,0,0.00402134946274402,0,0.00498820796754007,0,0.000923070628623705,0,0.00114500575166652,0,0.0253275554225078,0,0.0242055354860956,0,3.53074482828925,0,4.37964659550018,0,878
"65","B01",0.998845265588915,6,5,188.8,15.6,0,173.2,0,1.89319928835124e-05,0,7.00809231000925e-05,0,2.18614236530174e-08,0,8.09248534643128e-08,0,0.000113591957301075,0,0.000419999989479769,0,0.0311999242720285,0,0.115493361268952,0,1648
"66","B02",0.75,2.33333333333333,2,1.66666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,4.04529762468214e-07,9.13860095695774e-07,1.3487475577385e-07,7.88908078639619e-07,1.01132440617054e-07,2.28465023923943e-07,3.37186889434625e-08,1.97227019659905e-07,9.43902779092499e-07,1.5992551674676e-06,2.36030822604238e-07,1.38058913761933e-06,0.000666665048547617,0.00150604143770663,0.000222273597515305,0.00130012051359809,1648
"67","B04",0.996088925483738,6.27855153203343,4,1046.4,74.8,0,971.6,0,9.07764786978672e-05,0,0.000393132938129618,0,3.55033572511213e-07,0,1.53757221582189e-06,0,0.000569944799401094,0,0.00245865168459526,0,0.149599636894085,0,0.647883082037611,0,1648
"68","B06",1,9.8,7,27.8,8.4,12.6,6.8,0,1.0194150014199e-05,3.45439116173002e-05,2.75144501778654e-06,0,0,0,0,0,9.99026701391502e-05,0.000338530333849542,2.69641611743081e-05,0,0.0167999592233999,0.0569283663453108,0.00453438138931222,0,1648
"69","B08",0.946020650177435,1.8,1,11290,74.6,0,11215.4,0,9.05337608403863e-05,0,0.00453802300771811,0,4.88695354715568e-06,0,0.000244959531436466,0,0.000162960769512695,0,0.00772751425730696,0,0.215289283278439,0,10.7914187123537,0,2378
